Id,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,EnclosedPorch,ExterCond,ExterQual,Fence,FireplaceQu,Fireplaces,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageYrBlt,GrLivArea,HalfBath,HeatingQC,KitchenAbvGr,KitchenQual,LandSlope,LotArea,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MasVnrArea,MiscVal,MoSold,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotalSF,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,MiscFeature_Gar2,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SalesPrice
0,11.69262259,11.68618938,0,0.730463147,1.540962756,1.820334104,1.540962756,11.17032679,0,1.194317638,2.259673787,0.730463147,0,1.194317638,7.483295642,0.730463147,0,1.820334104,1.194317638,1.820334104,1.540962756,0,1.194317638,2.259673787,10.50627096,1.194317638,2.055641538,1.194317638,2.055641538,14.18752681,13.69888798,0.730463147,0,0.730463147,1.194317638,0,19.21218231,5.831327893,1.540962756,0,2.885846472,8.059125776,0,1.820334104,5.714668903,1.820334104,2.440268378,1.194317638,0,1.540962756,0,0.730463147,2.602594469,11.69262259,0,14.18752681,14.18752681,1.194317638,14.97659057,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.24769912
1,12.79227623,0,0,0.730463147,1.540962756,1.820334104,0.730463147,12.06283165,0,0,2.259673787,0,0.730463147,1.194317638,8.897843947,0.730463147,0,1.820334104,1.540962756,1.820334104,2.055641538,0.730463147,1.194317638,2.259673787,10.06209831,1.194317638,2.055641538,1.194317638,2.055641538,14.14513801,12.79227623,0,0,0.730463147,1.540962756,0,19.71220478,6.221213633,1.540962756,0,2.055641538,0,0,2.440268378,0,2.440268378,2.259673787,1.194317638,0,1.540962756,0,0.730463147,2.259673787,12.79227623,9.010205579,14.14513801,14.14513801,0.730463147,14.92309998,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.10901644
2,11.89203906,11.72459848,0,0.730463147,1.540962756,1.820334104,1.194317638,10.20034266,0,1.194317638,2.259673787,0.730463147,0,1.194317638,9.917059939,0.730463147,0,1.820334104,1.194317638,1.820334104,2.055641538,0.730463147,1.194317638,2.259673787,10.77553626,1.194317638,2.055641538,1.194317638,2.055641538,14.1844036,13.83208545,0.730463147,0,0.730463147,1.194317638,0,20.34724091,5.914940019,0,0,2.885846472,7.646538008,0,3.011340243,5.053371049,1.820334104,2.440268378,1.194317638,0,1.540962756,0,0.730463147,2.259673787,11.89203906,0,14.1844036,14.18596554,1.194317638,15.14967765,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.31717117
3,12.01368302,11.35409417,0,0.730463147,1.540962756,0.730463147,1.540962756,8.274265741,0,0,2.259673787,0.730463147,0,1.820334104,10.46849991,0.730463147,8.797735592,1.820334104,1.540962756,1.820334104,1.194317638,0.730463147,0.730463147,2.259673787,10.91825293,1.540962756,2.055641538,1.540962756,2.055641538,14.17971381,13.71136416,0,1.194317638,0.730463147,1.194317638,0,19.69155268,5.684506657,0,0,3.011340243,0,0,1.820334104,4.745132396,1.820334104,2.440268378,1.194317638,0,1.540962756,0,0.730463147,2.440268378,11.35409417,0,14.04752864,14.1356515,0,14.85712081,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.84940484
4,12.51058791,12.27136475,0,0.730463147,1.820334104,1.820334104,0,10.9711294,0,1.194317638,2.259673787,0.730463147,0,1.194317638,10.2210512,0.730463147,0,1.820334104,1.194317638,1.820334104,2.055641538,0.730463147,1.194317638,2.259673787,11.6277076,1.540962756,2.055641538,1.194317638,2.055641538,14.182841,14.4800295,0.730463147,0,0.730463147,1.194317638,0,21.32515985,6.314734757,0,0,2.885846472,9.391827135,0,1.540962756,6.314734757,1.820334104,2.602594469,1.194317638,0,1.540962756,0,0.730463147,2.750250297,12.51058791,8.013883697,14.182841,14.182841,1.194317638,15.85231157,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.4292202
5,11.49382027,10.58957442,9.178050664,0.730463147,0.730463147,1.820334104,1.540962756,11.26721654,0,1.194317638,2.259673787,0.730463147,0,1.194317638,5.802738724,0.730463147,0,1.820334104,1.540962756,1.194317638,1.540962756,0,0.730463147,2.259673787,10.16900713,1.194317638,2.055641538,1.540962756,2.055641538,14.17188418,13.01596291,0.730463147,0,0.730463147,1.540962756,0,21.2822828,6.337529395,0,0,2.750250297,0,11.14753825,0.730463147,4.492017743,1.820334104,2.055641538,1.194317638,0,1.540962756,0,0.730463147,2.055641538,11.49382027,4.969939052,14.17188418,14.17501803,1.540962756,14.42187933,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11.8706069
6,13.67020726,0,0,0.730463147,1.540962756,1.820334104,0,13.03109262,0,1.194317638,2.259673787,0.730463147,0,0,9.155749706,0.730463147,0,1.820334104,1.194317638,1.820334104,1.194317638,0.730463147,1.194317638,2.259673787,10.89354133,1.194317638,2.055641538,1.194317638,2.055641538,14.18908743,13.67020726,0,0,0.730463147,1.194317638,0,19.90752887,6.098626105,1.540962756,0,2.055641538,7.944502935,0,2.885846472,5.591427125,1.820334104,2.602594469,1.194317638,0,1.540962756,0,0.730463147,2.440268378,13.65578051,8.6493114,14.18908743,14.19064738,0.730463147,15.88951151,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.63460628
7,12.41383131,12.07714905,0,0.730463147,1.540962756,1.820334104,1.194317638,11.70224851,4.597156712,0,0.730463147,0.730463147,0,1.194317638,8.274265741,0.730463147,8.395382582,1.820334104,1.540962756,1.820334104,2.055641538,1.194317638,1.194317638,2.259673787,10.18993413,1.194317638,2.055641538,1.194317638,2.055641538,14.14039782,14.32088827,0.730463147,0,0.730463147,1.540962756,0,20.02386157,6.221213633,0,0,2.885846472,8.51121971,9.391827135,1.194317638,8.147315589,2.055641538,2.440268378,1.194317638,0,1.540962756,0,0.730463147,2.440268378,12.41383131,8.463563732,14.14039782,14.14039782,1.540962756,15.70202122,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.20607765
8,12.18675088,11.33977869,0,0.730463147,1.194317638,1.820334104,1.540962756,0,0,2.259673787,2.259673787,0,0,1.820334104,11.98736356,0.730463147,8.158132683,1.820334104,1.540962756,1.820334104,2.055641538,1.194317638,1.194317638,1.194317638,10.10532614,1.194317638,2.055641538,1.540962756,0.730463147,14.07338382,13.81137841,0,1.194317638,1.194317638,1.540962756,0,17.98987134,5.392276337,1.540962756,0,2.750250297,0,0,2.259673787,0,1.820334104,2.440268378,1.194317638,0,1.540962756,0,0.730463147,2.602594469,11.98736356,6.448232316,14.07338382,14.10385151,1.194317638,15.17377978,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.7745279
9,12.3354314,0,0,0.730463147,1.194317638,1.820334104,1.540962756,11.67651555,0,1.194317638,2.259673787,0.730463147,0,1.820334104,7.33860727,0.730463147,0,1.820334104,1.540962756,1.820334104,2.055641538,1.194317638,0.730463147,2.259673787,8.158132683,0.730463147,2.055641538,1.194317638,1.194317638,14.08624323,12.3354314,0,0,1.194317638,1.540962756,0,18.71254371,5.357203202,1.540962756,0,1.820334104,0,0,0,1.820334104,2.055641538,2.055641538,1.194317638,0,1.540962756,0,0.730463147,2.055641538,12.09992877,0,14.08624323,14.10385151,1.194317638,14.28761679,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11.67844838
